Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Through hole ceramic capacitor","For capacitence",10,0.51,"https://www.lcsc.com/product-detail/C123150.html?spm=wm.gwc.xh.9.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Ceramic Capacitor ","For capacitence",100,0.15,"https://www.lcsc.com/product-detail/C1525.html?spm=wm.gwc.xh.8.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Thick Film Resistor","To resist",100,0.49,"https://www.lcsc.com/product-detail/C17902.html?spm=wm.gwc.xh.7.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Through Hole Resistor","To resist",100,0.57,"https://www.lcsc.com/product-detail/C713913.html?spm=wm.gwc.xh.6.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Oscillator","For oscillating",1,0.71,"https://www.lcsc.com/product-detail/C295101.html?spm=wm.gwc.xh.5.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Hub USB 2.0 Interface Controllers","To control everything",1,0.80,"https://www.lcsc.com/product-detail/C6776948.html?spm=wm.gwc.xh.4.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Ceramic capacitor","For capacitence",50,0.52,"https://www.lcsc.com/product-detail/C19702.html?spm=wm.gwc.xh.3.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Diode","For diodey stuff",10,1.17,"https://www.lcsc.com/product-detail/C48192.html?spm=wm.gwc.xh.2.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Usb female ports","to plug stuff into the pcb",10,0.46,"https://www.lcsc.com/product-detail/C46407.html?spm=wm.gwc.xh.1.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"Usb male port","to plug the pcb into my computer",5,0.52,"https://www.lcsc.com/product-detail/C98125.html?spm=wm.gwc.xh.0.cbm___wm.mly.ssl.gwc&lcsc_vid=EgJbVwUCE1FfA1MEFQBbUFJQTwAMA1FVQFEMVlVWE1ExVlNRTlJWUFxQQldXVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D","LCSC Electronics"
"PCB","It is the circuit",5,3.50,"https://jlcpcb.com/pcb-fabrication/fr4-pcb","JLCPCB"
